,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
222345_at,,,0.0358306993755403,0.922340957719301,,0.0,0.46166497240555915,0.7411073535203206,0.0,0.30069308148146995
213011_s_at,,,0.0463557659597437,0.8217588086686077,,0.0,0.6037029336298955,0.598933906119354,0.0,0.3006592099373124
215688_at,,,0.0326714207720612,0.9523867029154698,,0.0,0.4190298509849184,0.7835771875275201,0.0,0.30065175962810964
220063_at,,,0.0267020695012662,1.009314627693308,,0.0,0.33847221483578854,0.8640451373122179,0.0,0.3006293380370016
214156_at,,,0.0186766387334307,1.085904122248885,,0.0,0.230167358511054,0.9723048292996688,0.0,0.3006180469526807
215274_at,,,0.0325053169908588,0.9538036132411696,,0.0,0.4167882459323621,0.7855799984394369,0.0,0.3005920610929498
213857_s_at,,,0.025201492616292998,1.023516975948258,,0.0,0.3182216178731195,0.8841202384276025,0.0,0.3005854640751805
211516_at,,,0.0259622935466837,1.016125359872699,,0.0,0.32848878456377584,0.8736721465022946,0.0,0.30054023276651765
221745_at,,,0.0456890410902161,0.827724206335049,,0.0,0.5947053429346124,0.6073660301031852,0.0,0.3005178432594494
207415_at,,,0.0211433724252424,1.0619518551759202,,0.0,0.26345644240095245,0.9384481617401423,0.0,0.3004761510352737
AFFX-r2-Hs18SrRNA-M_x_at,,,0.048945292649594296,0.7964769711007811,,0.0,0.6386491345512667,0.5631978830021943,0.0,0.30046175438836525
215896_at,,,0.03157038919999999,0.9622990405147286,,0.0,0.4041712010668347,0.7975883338550716,0.0,0.3004398837304766
216648_s_at,,,0.0351396516567709,0.928180132657795,,0.0,0.45233913980417206,0.7493610609506979,0.0,0.30042505018871746
208448_x_at,,,0.0305585776936191,0.971893629610012,,0.0,0.3905165944797977,0.8111503408408703,0.0,0.300416733830167
213663_s_at,,,0.030048844719476796,0.9767020115804312,,0.0,0.38363764204403317,0.8179470164697695,0.0,0.30039616462845065
220944_at,,,0.0328593824929557,0.9498678582343484,,0.0,0.42156643347686595,0.7800167860530783,0.0,0.3003958048824861
1431_at,,,0.0234714486457435,1.0394806977948905,,0.0,0.2948743148950923,0.9066850512667273,0.0,0.3003898415404549
210655_s_at,,,0.0474269614498561,0.8107555188023872,,0.0,0.61815893942055,0.5833806924746122,0.0,0.3003849079737906
216786_at,,,0.0431755556003795,0.8513450404379871,,0.0,0.5607853338128495,0.6407542152493235,0.0,0.30038488726554324
211875_x_at,,,0.031851139157620306,0.9593621748340448,,0.0,0.4079599800997444,0.793437057288432,0.0,0.3003492593470441
206815_at,,,0.0345627892577212,0.9334126145129412,,0.0,0.4445542618262053,0.7567572042110114,0.0,0.3003278665093042
216958_s_at,,,0.0255335862904728,1.0196087037584691,,0.0,0.32270329103296375,0.8785958731615195,0.0,0.3003247910486208
216369_at,,,0.0223383256054012,1.0501111304602777,,0.0,0.27958258394223556,0.921711229109082,0.0,0.3003234532628294
205984_at,,,0.0220594020229393,1.0527525268165017,,0.0,0.27581845222170687,0.9254448580826232,0.0,0.30031582757608255
221307_at,,,0.02938505800051808,0.9827645596225002,,0.0,0.3746797023013818,0.8265164630694889,0.0,0.3002990413427177
211130_x_at,,,0.0317161732335767,0.9605077526828384,,0.0,0.4061385869016544,0.795056338180383,0.0,0.3002987312705093
211810_s_at,,,0.0298613839925198,0.9782069402541214,,0.0,0.3811078205694055,0.8200742418238754,0.0,0.30029551559832024
205453_at,,,0.021448542270215497,1.0585252018000342,,0.0,0.2675747728894437,0.9336045674433816,0.0,0.3002948350832063
221879_at,,,0.0282018174934777,0.9940457125575948,,0.0,0.3587116257183503,0.8424624377635828,0.0,0.30029351587048325
216469_at,,,0.0270434262702755,1.0050886228844098,,0.0,0.34307889538572234,0.8580716551577323,0.0,0.30028763763586364
215378_at,,,0.020971301045762402,1.062904441916087,,0.0,0.26113430336925453,0.939794648587721,0.0,0.30023223798924387
214233_at,,,0.0352553697683167,0.9265193463571804,,0.0,0.4539007797718815,0.7470135299426293,0.0,0.3002285774286277
215808_at,,,0.032111249276411,0.9565307706073268,,0.0,0.4114702202175884,0.7894348510948132,0.0,0.30022626782810036
203419_at,,,0.0411770531679288,0.86994857324227,,0.0,0.5338151280914707,0.6670504160919685,0.0,0.30021638604585976
216009_at,,,0.030819783525969396,0.9687902811725432,,0.0,0.3940416214798763,0.8067637399379708,0.0,0.3002013403544618
213982_s_at,,,0.028364276947180397,0.9922287899611182,,0.0,0.3609040498138124,0.8398942072014022,0.0,0.3001995642538037
201804_x_at,,,0.0351843379964146,0.92695148145955,,0.0,0.4529421912458698,0.7476243554004934,0.0,0.3001416366615908
215776_at,,,0.0291231393073817,0.9847783295180168,,0.0,0.3711450550968245,0.8293629384234166,0.0,0.3001269983800603
221099_at,,,0.0357594835740995,0.9214139773026144,,0.0,0.4607039003626715,0.7397970613585664,0.0,0.30012524043030947
207528_s_at,,,0.029729086601898803,0.9789849414910844,,0.0,0.3793224397845173,0.8211739510564302,0.0,0.30012409771023685
216425_at,,,0.028170323345100296,0.9938474640050832,,0.0,0.3582866056398325,0.8421822122919772,0.0,0.3001172044829524
201757_at,,,0.034823356904749296,0.9302689447717468,,0.0,0.44807067638271175,0.752313608912899,0.0,0.3000960713239027
218254_s_at,,,0.0266227211068603,1.0085599634177012,,0.0,0.33740139176045014,0.8629784150090455,0.0,0.3000949516923739
214376_at,,,0.0327457971889134,0.950000330165391,,0.0,0.4200335761897274,0.7802040358911256,0.0,0.3000594030202133
1438_at,,,0.039946247730454104,0.8811885532216274,,0.0,0.5172051528856972,0.6829381925758222,0.0,0.3000358363653799
218499_at,,,0.0324019762068632,0.9532159169426012,,0.0,0.41539364057261174,0.7847492863341493,0.0,0.3000357317266903
217467_at,,,0.026919269107118702,1.005553861767036,,0.0,0.34140336866243715,0.8587292729997871,0.0,0.30003316041555605
212928_at,,,0.0283780675506528,0.9915119702436,,0.0,0.36109015687409585,0.83888097839921,0.0,0.2999927838183265
221685_s_at,,,0.0437141540107599,0.8450625352706601,,0.0,0.5680538313104251,0.6318738579853016,0.0,0.29998192232393167
215090_x_at,,,0.038580436751532304,0.8940445679274773,,0.0,0.498773249836739,0.7011102434597918,0.0,0.2999708733241327
219321_at,,,0.036317704376790404,0.9155656042639194,,0.0,0.4682372061230578,0.7315303523605406,0.0,0.2999418896208996
216473_x_at,,,0.038850210495976,0.8912938226240399,,0.0,0.5024139025913874,0.697222049119118,0.0,0.2999089879276263
208259_x_at,,,0.0278934663248391,0.9958231150397844,,0.0,0.35455036260574424,0.8449748064164395,0.0,0.29988129225554594
218689_at,,,0.028422587182463,0.9907120140703308,,0.0,0.36169095855892974,0.8377502357376464,0.0,0.29986029857414404
203787_at,,,0.0345025803011303,0.9326554652826406,,0.0,0.4437417294423768,0.7556869694100572,0.0,0.29985717471310847
210075_at,,,0.0292175726140993,0.9830911557372513,,0.0,0.3724194521992591,0.8269781085600671,0.0,0.2998493901898316
208481_at,,,0.0358553601459379,0.919648757516082,,0.0,0.46199777462789887,0.7373019130162375,0.0,0.2998249219110341
219493_at,,,0.0427711014408082,0.8535828933630634,,0.0,0.5553271408622765,0.6439174332570644,0.0,0.29981114352983523
206939_at,,,0.034930198386455405,0.928435811912806,,0.0,0.4495125243856973,0.7497224650512954,0.0,0.2998087473592482
216998_s_at,,,0.0354775455239718,0.9231140394929224,,0.0,0.45689908777442567,0.742200109063088,0.0,0.29977479920937844
206988_at,,,0.027474947553474197,0.999424336504145,,0.0,0.34890236479563974,0.8500651537124041,0.0,0.29974187962701093
208872_s_at,,,0.029218786426780198,0.9827456556868084,,0.0,0.37243583285368287,0.8264897422474333,0.0,0.299731393775279
200929_at,,,0.0259733323879939,1.01367519673912,,0.0,0.3286377560217173,0.8702088267911589,0.0,0.29971164570321907
210333_at,,,0.0347822464168994,0.929420895159214,,0.0,0.44751588180422414,0.7511148858977437,0.0,0.29965769192549196
211553_x_at,,,0.028339233645948304,0.9909244882224943,,0.0,0.3605660852583509,0.8380505691763509,0.0,0.2996541636086755
220405_at,,,0.0333179968413551,0.9433549908427354,,0.0,0.4277555294330517,0.7708108104573066,0.0,0.2996415849725896
201023_at,,,0.0458524108294274,0.823629723106406,,0.0,0.596910051522219,0.6015784544604316,0.0,0.29962212649566267
220061_at,,,0.0219858486207741,1.051490260831419,,0.0,0.2748258337711653,0.9236606378374808,0.0,0.2996216179021615
203133_at,,,0.036594120591330596,0.9119062956802412,,0.0,0.47196750039231816,0.7263578985866281,0.0,0.2995813497447366
212852_s_at,,,0.050432408800046395,0.7797597196641192,,0.0,0.6587180761037145,0.5395679517445006,0.0,0.29957150696205376
219194_at,,,0.029135100570097803,0.983000688645795,,0.0,0.371306474823367,0.8268502328048754,0.0,0.29953917690706056
210738_s_at,,,0.0259309992451814,1.0135738292635992,,0.0,0.32806646146037644,0.870065543280266,0.0,0.2995330011851606
220579_at,,,0.026214250604547303,1.0108478520945603,,0.0,0.33188899742976763,0.8662123588403188,0.0,0.2995253390675216
217187_at,,,0.0346685067728983,0.9301318918360316,,0.0,0.44598094166726154,0.7521198837983437,0.0,0.29952520636640134
220176_at,,,0.03167313453501287,0.958724833799389,,0.0,0.4055577707187972,0.792536172062551,0.0,0.29952348569533704
